[2018/04/02 19:00:07] HTTP GET / 302 [0.05, 180.167.110.90:3401]
[2018/04/03 11:18:26] HTTP GET / 200 [0.37, 180.167.110.90:6440]
[2018/04/03 11:18:26] HTTP GET /static/vendor/metisMenu/metisMenu.min.css 304 [0.03, 180.167.110.90:6440]
[2018/04/03 11:18:26] HTTP GET /static/vendor/jquery/jquery.min.js 304 [0.01, 180.167.110.90:6442]
[2018/04/03 11:18:26] HTTP GET /static/vendor/bootstrap/css/bootstrap.min.css 304 [0.01, 180.167.110.90:6443]
[2018/04/03 11:18:26] HTTP GET /static/dist/css/sb-admin-2.css 304 [0.05, 180.167.110.90:6444]
[2018/04/03 11:18:26] HTTP GET /static/vendor/font-awesome/css/font-awesome.min.css 304 [0.05, 180.167.110.90:6446]
[2018/04/03 11:18:26] HTTP GET /static/vendor/morrisjs/morris.css 304 [0.04, 180.167.110.90:6445]
[2018/04/03 11:18:26] HTTP GET /static/vendor/bootstrap/js/bootstrap.min.js 304 [0.04, 180.167.110.90:6448]
[2018/04/03 11:18:26] HTTP GET /static/dist/css/bootstrap-select.css 304 [0.04, 180.167.110.90:6447]
[2018/04/03 11:18:26] HTTP GET /static/vendor/metisMenu/metisMenu.min.js 304 [0.04, 180.167.110.90:6449]
[2018/04/03 11:18:26] HTTP GET /static/vendor/raphael/raphael.min.js 304 [0.03, 180.167.110.90:6450]
[2018/04/03 11:18:26] HTTP GET /static/vendor/morrisjs/morris.min.js 304 [0.03, 180.167.110.90:6440]
[2018/04/03 11:18:26] HTTP GET /static/dist/js/sb-admin-2.js 304 [0.02, 180.167.110.90:6443]
[2018/04/03 11:18:26] HTTP GET /static/vendor/flot/excanvas.min.js 304 [0.02, 180.167.110.90:6442]
[2018/04/03 11:18:26] HTTP GET /static/vendor/flot/jquery.flot.js 304 [0.03, 180.167.110.90:6444]
[2018/04/03 11:18:26] HTTP GET /static/vendor/flot/jquery.flot.pie.js 304 [0.02, 180.167.110.90:6446]
[2018/04/03 11:18:26] HTTP GET /static/vendor/flot/jquery.flot.resize.js 304 [0.02, 180.167.110.90:6448]
[2018/04/03 11:18:26] HTTP GET /static/vendor/flot/jquery.flot.time.js 304 [0.01, 180.167.110.90:6445]
[2018/04/03 11:18:26] HTTP GET /static/dist/css/xcConfirm.css 304 [0.01, 180.167.110.90:6449]
[2018/04/03 11:18:26] HTTP GET /static/vendor/flot-tooltip/jquery.flot.tooltip.min.js 304 [0.00, 180.167.110.90:6450]
[2018/04/03 11:18:26] HTTP GET /static/js/csrf.js 304 [0.04, 180.167.110.90:6443]
[2018/04/03 11:18:26] HTTP GET /static/dist/js/xcConfirm.js 304 [0.04, 180.167.110.90:6447]
[2018/04/03 11:18:26] HTTP GET /static/js/echarts.js 304 [0.04, 180.167.110.90:6440]
[2018/04/03 11:18:26] HTTP GET /static/dist/css/bootstrap-datetimepicker.min.css 304 [0.04, 180.167.110.90:6442]
[2018/04/03 11:18:26] HTTP GET /static/js/bootstrap-datetimepicker.js 304 [0.02, 180.167.110.90:6444]
[2018/04/03 11:18:26] HTTP GET /static/dist/css/jquery.dataTables.min.css 304 [0.02, 180.167.110.90:6446]
[2018/04/03 11:18:26] HTTP GET /static/js/jquery.dataTables.min.js 304 [0.01, 180.167.110.90:6448]
[2018/04/03 11:18:26] HTTP GET /static/dist/js/bootstrap-select.js 304 [0.01, 180.167.110.90:6450]
[2018/04/03 11:18:27] HTTP GET /static/vendor/font-awesome/fonts/fontawesome-webfont.eot? 304 [0.02, 180.167.110.90:6449]
[2018/04/03 11:18:27] HTTP GET /api/order/root/ 200 [0.01, 180.167.110.90:6445]
[2018/04/03 11:18:35] HTTP GET /assets_log/1/ 200 [0.06, 180.167.110.90:6443]
[2018/04/03 11:18:36] HTTP GET /api/order/root/ 200 [0.05, 180.167.110.90:6447]
[2018/04/03 11:18:38] HTTP GET /assets_list 200 [0.03, 180.167.110.90:6444]
[2018/04/03 11:18:38] HTTP GET /static/vendor/bootstrap/fonts/glyphicons-halflings-regular.eot? 304 [0.02, 180.167.110.90:6446]
[2018/04/03 11:18:39] HTTP GET /api/order/root/ 200 [0.05, 180.167.110.90:6440]
[2018/04/03 11:18:42] HTTP GET /assets_list 200 [0.03, 180.167.110.90:6442]
[2018/04/03 11:18:42] HTTP GET /api/order/root/ 200 [0.05, 180.167.110.90:6448]
[2018/04/03 11:18:48] HTTP GET / 200 [0.06, 180.167.110.90:6450]
[2018/04/03 11:18:49] HTTP GET /api/order/root/ 200 [0.01, 180.167.110.90:6449]
[2018/04/03 11:18:53] HTTP GET /assets_config 200 [0.07, 180.167.110.90:6445]
[2018/04/03 11:18:54] HTTP GET /api/order/root/ 200 [0.04, 180.167.110.90:6443]
[2018/04/03 11:18:59] HTTP GET /assets_add 200 [0.05, 180.167.110.90:6447]
[2018/04/03 11:18:59] HTTP GET /static/dist/js/bootstrap-notify.js 304 [0.00, 180.167.110.90:6444]
[2018/04/03 11:19:00] HTTP GET /api/order/root/ 200 [0.02, 180.167.110.90:6446]
[2018/04/03 11:20:28] HTTP GET /assets_add 200 [0.07, 180.167.110.90:3492]
[2018/04/03 11:20:28] HTTP GET /static/vendor/raphael/raphael.min.js 304 [0.04, 180.167.110.90:3492]
[2018/04/03 11:20:28] HTTP GET /static/vendor/jquery/jquery.min.js 304 [0.03, 180.167.110.90:3495]
[2018/04/03 11:20:28] HTTP GET /static/vendor/bootstrap/css/bootstrap.min.css 304 [0.03, 180.167.110.90:3494]
[2018/04/03 11:20:28] HTTP GET /static/vendor/metisMenu/metisMenu.min.css 304 [0.03, 180.167.110.90:3496]
[2018/04/03 11:20:28] HTTP GET /static/dist/css/sb-admin-2.css 304 [0.03, 180.167.110.90:3497]
[2018/04/03 11:20:28] HTTP GET /static/dist/css/bootstrap-select.css 304 [0.03, 180.167.110.90:3500]
[2018/04/03 11:20:28] HTTP GET /static/vendor/font-awesome/css/font-awesome.min.css 304 [0.03, 180.167.110.90:3499]
[2018/04/03 11:20:28] HTTP GET /static/vendor/morrisjs/morris.css 304 [0.02, 180.167.110.90:3498]
[2018/04/03 11:20:28] HTTP GET /static/vendor/bootstrap/js/bootstrap.min.js 304 [0.02, 180.167.110.90:3501]
[2018/04/03 11:20:28] HTTP GET /static/vendor/metisMenu/metisMenu.min.js 304 [0.02, 180.167.110.90:3502]
[2018/04/03 11:20:28] HTTP GET /static/vendor/morrisjs/morris.min.js 304 [0.02, 180.167.110.90:3495]
[2018/04/03 11:20:28] HTTP GET /static/dist/js/sb-admin-2.js 304 [0.02, 180.167.110.90:3492]
[2018/04/03 11:20:28] HTTP GET /static/vendor/flot/excanvas.min.js 304 [0.02, 180.167.110.90:3497]
[2018/04/03 11:20:28] HTTP GET /static/vendor/flot/jquery.flot.pie.js 304 [0.01, 180.167.110.90:3500]
[2018/04/03 11:20:28] HTTP GET /static/vendor/flot/jquery.flot.js 304 [0.01, 180.167.110.90:3496]
[2018/04/03 11:20:28] HTTP GET /static/vendor/flot-tooltip/jquery.flot.tooltip.min.js 304 [0.00, 180.167.110.90:3498]
[2018/04/03 11:20:28] HTTP GET /static/vendor/flot/jquery.flot.resize.js 304 [0.00, 180.167.110.90:3499]
[2018/04/03 11:20:28] HTTP GET /static/vendor/flot/jquery.flot.time.js 304 [0.05, 180.167.110.90:3494]
[2018/04/03 11:20:28] HTTP GET /static/dist/css/xcConfirm.css 304 [0.05, 180.167.110.90:3502]
[2018/04/03 11:20:28] HTTP GET /static/dist/js/xcConfirm.js 304 [0.04, 180.167.110.90:3501]
[2018/04/03 11:20:28] HTTP GET /static/js/csrf.js 304 [0.02, 180.167.110.90:3495]
[2018/04/03 11:20:28] HTTP GET /static/dist/js/bootstrap-select.js 304 [0.01, 180.167.110.90:3497]
[2018/04/03 11:20:28] HTTP GET /static/js/echarts.js 304 [0.01, 180.167.110.90:3500]
[2018/04/03 11:20:28] HTTP GET /static/dist/css/bootstrap-datetimepicker.min.css 304 [0.05, 180.167.110.90:3496]
[2018/04/03 11:20:28] HTTP GET /static/js/bootstrap-datetimepicker.js 304 [0.04, 180.167.110.90:3499]
[2018/04/03 11:20:28] HTTP GET /static/dist/js/bootstrap-notify.js 304 [0.04, 180.167.110.90:3498]
[2018/04/03 11:20:28] HTTP GET /static/dist/css/jquery.dataTables.min.css 304 [0.04, 180.167.110.90:3492]
[2018/04/03 11:20:28] HTTP GET /static/js/jquery.dataTables.min.js 304 [0.03, 180.167.110.90:3495]
[2018/04/03 11:20:29] HTTP GET /static/vendor/bootstrap/fonts/glyphicons-halflings-regular.eot? 304 [0.01, 180.167.110.90:3494]
[2018/04/03 11:20:29] HTTP GET /static/vendor/font-awesome/fonts/fontawesome-webfont.eot? 304 [0.01, 180.167.110.90:3502]
[2018/04/03 11:20:29] HTTP GET /api/order/root/ 200 [0.04, 180.167.110.90:3497]
[2018/04/03 11:20:33] HTTP GET /assets_config 200 [0.07, 180.167.110.90:3501]
[2018/04/03 11:20:34] HTTP GET /api/order/root/ 200 [0.01, 180.167.110.90:3500]
[2018/04/03 11:20:35] HTTP GET /assets_list 200 [0.02, 180.167.110.90:3496]
[2018/04/03 11:20:36] HTTP GET /api/order/root/ 200 [0.04, 180.167.110.90:3498]
[2018/04/03 11:20:39] HTTP GET /assets_log/1/ 200 [0.06, 180.167.110.90:3495]
[2018/04/03 11:20:40] HTTP GET /api/order/root/ 200 [0.02, 180.167.110.90:3499]
[2018/04/03 11:20:44] HTTP GET /deploy_add 200 [0.03, 180.167.110.90:3492]
[2018/04/03 11:20:44] HTTP GET /api/order/root/ 200 [0.05, 180.167.110.90:3494]
[2018/04/03 11:20:59] HTTP GET / 200 [0.07, 180.167.110.90:3502]
[2018/04/03 11:20:59] HTTP GET /api/order/root/ 200 [0.02, 180.167.110.90:3497]
